Testing for version ./zad2_static and option -O
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
      save   0.000051   0.000000   0.000000                 15000.txt
Testing for version ./zad2_shared and option -Os
 OPERATION  REAL_TIME  USER_TIME SYSTEM_TIME           ADDITIONAL_INFO
    create   0.000027   0.000000   0.000000               20 elements
     count   0.285794   0.000025   0.000003                 10000.txt
      save   0.000019   0.000000   0.000000                 10000.txt
     count   0.339439   0.000031   0.000003                 11000.txt
      save   0.000026   0.000000   0.000000                 11000.txt
     count   0.404350   0.000038   0.000002                 12000.txt
      save   0.000017   0.000000   0.000000                 12000.txt
     count   0.474392   0.000043   0.000005                 13000.txt
      save   0.000016   0.000000   0.000000                 13000.txt
     count   0.550383   0.000052   0.000002                 14000.txt
      save   0.000017   0.000000   0.000000                 14000.txt
     count   0.629546   0.000059   0.000004                 15000.txt
      save   0.000017   0.000000   0.000000                 15000.txt
    remove   0.000004   0.000000   0.000000                   index 0
    remove   0.000002   0.000000   0.000000                   index 1
    remove   0.000002   0.000000   0.000000                   index 2
    remove   0.000002   0.000000   0.000000                   index 3
    remove   0.000001   0.000000   0.000000                   index 4
     count   0.283284   0.000026   0.000003                 10000.txt
      save   0.000064   0.000000   0.000000                 10000.txt
     count   0.347972   0.000032   0.000003                 11000.txt
      save   0.000059   0.000000   0.000000                 11000.txt
     count   0.411856   0.000036   0.000005                 12000.txt
      save   0.000024   0.000000   0.000000                 12000.txt
     count   0.477974   0.000043   0.000005                 13000.txt
      save   0.000059   0.000000   0.000000                 13000.txt
